frameIndex,frameTime,pcm_fftMag_mfcc[1],pcm_fftMag_mfcc[2],pcm_fftMag_mfcc[3],pcm_fftMag_mfcc[4],pcm_fftMag_mfcc[5],pcm_fftMag_mfcc[6],pcm_fftMag_mfcc[7],pcm_fftMag_mfcc[8],pcm_fftMag_mfcc[9],pcm_fftMag_mfcc[10],pcm_fftMag_mfcc[11],pcm_fftMag_mfcc[12],pcm_LOGenergy
72,0.720000,4.245519e+00,-2.324022e+01,-1.550483e+01,-5.449515e+01,-3.891865e+00,-1.984364e+00,-1.782948e+01,1.200076e+01,-2.224508e+00,-7.301750e-01,2.827065e+01,-4.528799e+00,2.149404e+01
73,0.730000,2.387606e+01,-1.299840e+01,-2.260946e+01,-5.674546e+01,-3.265531e-01,-2.931564e+00,-8.102076e+00,2.202686e+01,3.482304e+01,1.808528e+01,1.778208e+01,-1.713093e+01,2.530583e+01
74,0.740000,1.505538e+01,-3.090468e+01,-1.999887e+01,-7.401543e+01,-1.041077e+01,-5.337681e+00,-1.595782e+01,3.512698e+01,4.191774e+01,2.360388e+01,2.696481e+01,-1.369872e+01,2.623915e+01
75,0.750000,1.464468e+01,-2.031277e+01,-1.484051e+01,-8.096902e+01,-1.520625e+01,6.063964e+00,-1.533037e+01,3.947283e+01,4.359314e+01,1.718268e+01,1.838384e+01,-2.322947e+01,2.654596e+01
76,0.760000,2.525821e+01,-1.459191e+01,-2.892292e+01,-7.516272e+01,-1.451964e+01,1.256706e+01,2.053481e+00,4.332167e+01,2.591768e+01,-2.975966e+00,1.144676e+01,-1.820019e+01,2.618154e+01
77,0.770000,2.359616e+01,-1.502051e+01,-2.787459e+01,-7.054489e+01,-1.437926e+01,1.377859e+01,4.811008e+00,4.513284e+01,1.969348e+01,-2.800687e+00,1.099265e+01,-1.926242e+01,2.604365e+01
78,0.780000,1.743923e+01,-2.063500e+01,-3.355782e+01,-8.055584e+01,-1.724617e+01,1.112115e+01,7.410148e+00,5.450938e+01,1.426773e+01,-1.015044e+01,9.064383e+00,-2.720983e+01,2.623525e+01
79,0.790000,2.204477e+01,-1.625650e+01,-2.125468e+01,-8.133693e+01,-1.408623e+01,2.186418e+01,4.839971e+00,6.203320e+01,2.598287e+01,-1.663557e+01,1.354103e+01,-3.316360e+01,2.656183e+01
80,0.800000,2.078181e+01,-1.197622e+01,-1.179981e+01,-8.469185e+01,-2.311967e+01,1.195769e+01,-1.712505e+00,7.143647e+01,4.166238e+01,-7.485046e+00,1.012279e+01,-4.559954e+01,2.648649e+01
81,0.810000,2.310562e+01,-1.654083e+01,-2.518591e+01,-6.559341e+01,-1.439335e+01,-9.149020e+00,-1.881816e+01,4.768306e+01,3.063448e+01,9.223232e+00,9.213555e+00,-3.983550e+01,2.588981e+01
82,0.820000,2.599482e+01,-1.817075e+01,-6.092875e+00,-4.200559e+01,1.594494e+01,-1.179104e+01,-3.132621e+01,2.284462e+01,7.181814e+00,-6.295920e+00,1.446394e+01,-2.337084e+01,2.412682e+01
83,0.830000,1.083063e+01,-1.242916e+01,-1.105359e+00,-3.479758e+01,2.334340e+01,2.396518e+00,-1.136722e+01,1.627181e+01,-5.301570e+00,-1.516044e+01,3.374805e+00,-2.697130e+01,2.105218e+01
84,0.840000,6.597863e+00,-1.002244e+01,-1.562636e+01,-4.204584e+01,1.101667e+01,4.227148e+00,2.413347e-01,2.291413e+01,5.063092e+00,-1.400200e+01,-2.149843e+00,-1.980591e+01,1.956180e+01
85,0.850000,1.280501e+01,-8.136683e+00,1.623785e+00,-9.561911e+00,2.090871e+01,-1.705458e+01,-2.168360e+00,1.639632e+01,1.125790e+01,-3.444086e+00,9.619252e+00,-7.214674e+00,2.097374e+01
86,0.860000,8.962007e+00,-5.516419e+00,2.854934e+00,-9.607433e+00,2.199907e+01,-1.627224e+01,-4.514473e+00,2.595399e+00,1.051105e+01,2.593641e+00,6.075595e+00,-1.128000e+01,2.114636e+01
87,0.870000,7.463403e+00,-1.232925e+00,-8.461090e-02,-2.237830e+01,1.088058e+01,-1.496963e+01,2.755905e+00,-7.657600e-01,6.408397e+00,5.008811e+00,1.513062e+00,-5.447940e+00,2.024313e+01
88,0.880000,9.130762e+00,-1.367202e+00,-1.077877e+01,-1.789765e+01,8.263825e+00,-3.994007e+00,9.446672e+00,-1.257097e+00,4.689601e+00,-4.279309e+00,-7.434021e+00,-4.095220e+00,1.949933e+01
89,0.890000,8.873599e+00,7.725251e+00,-7.564204e+00,-1.959774e+01,7.594452e-01,-9.215839e+00,3.595788e-01,7.180387e+00,1.297949e+01,9.936657e+00,-1.555187e+00,-1.717983e+01,1.892605e+01
90,0.900000,4.321940e+00,1.876540e+00,-1.794725e+01,-3.352951e+01,3.441191e+00,-2.076364e+01,-5.254671e-01,-1.254451e+01,1.015576e+01,1.196204e+00,-1.308026e+01,-1.027531e+01,1.850183e+01
91,0.910000,6.070780e+00,5.732498e+00,-6.586128e+00,-2.425140e+01,-9.762114e-01,-2.368012e+00,9.622805e+00,-5.532243e+00,4.010326e+00,-3.504009e+00,-1.143674e+01,-1.748032e+01,1.752266e+01
92,0.920000,2.972223e+00,7.280994e+00,-3.360147e+00,-3.000308e+01,-5.192347e+00,-2.028269e+00,6.639915e+00,1.548167e+01,1.672805e+01,1.030306e+01,-5.559518e-01,-9.931808e+00,1.802711e+01
93,0.930000,6.549734e+00,3.533309e+00,-1.289982e+01,-4.225086e+01,-2.472496e+01,-2.860916e+01,-6.614405e-01,1.384735e+01,2.100882e+01,2.817450e+01,8.496300e+00,-3.513590e-01,2.247585e+01
94,0.940000,1.215453e+01,6.156992e+00,-2.641010e+01,-7.728627e+01,-3.097243e+01,-1.229867e+01,3.748487e+00,1.431778e+01,2.627728e+01,2.068798e+01,3.918297e+01,1.211937e+01,2.435873e+01
95,0.950000,6.523238e+00,1.207347e+01,-3.054171e+01,-8.577356e+01,-1.966159e+01,-1.016235e+01,-2.075552e+00,8.231225e+00,1.893417e+01,3.150415e+01,5.632481e+01,2.069950e+01,2.492563e+01
96,0.960000,8.273402e-01,1.312741e+01,-1.784909e+01,-8.196569e+01,-1.026022e+01,-1.176797e+01,-1.431377e+01,7.209018e+00,1.995512e+01,2.722602e+01,6.637585e+01,2.296828e+01,2.508527e+01
97,0.970000,7.799089e+00,8.506303e+00,-2.040347e+01,-7.660113e+01,-1.302999e+01,-9.906095e+00,-1.834135e+01,1.203919e+01,1.694131e+01,3.413696e+01,5.863829e+01,2.079679e+01,2.526080e+01
98,0.980000,1.171677e+01,1.043713e-01,-2.396301e+01,-7.838758e+01,-1.878987e+01,-1.130041e+01,-1.952859e+01,1.925633e+01,2.439661e+01,3.186656e+01,5.869313e+01,1.766404e+01,2.553127e+01
99,0.990000,1.995056e+01,3.670813e-01,-2.470692e+01,-6.693633e+01,-1.257498e+01,-2.219531e+01,-2.264738e+01,2.797664e+01,3.389610e+01,2.862252e+01,4.659560e+01,1.457924e+01,2.574311e+01
100,1.000000,1.838379e+01,-1.086536e+01,-3.623170e+01,-6.481521e+01,-1.597755e+01,-3.352475e+01,-1.929116e+01,2.747410e+01,3.636536e+01,3.644369e+01,3.646224e+01,1.274325e+01,2.580400e+01
101,1.010000,2.425459e+01,-7.706571e+00,-3.573191e+01,-5.192143e+01,-1.770494e+01,-2.695845e+01,-1.041165e+01,2.090930e+01,3.335076e+01,3.930669e+01,3.193034e+01,1.529028e+01,2.574597e+01
102,1.020000,2.082526e+01,-1.064845e+01,-3.598367e+01,-5.391592e+01,-2.484050e+01,-2.308186e+01,-1.125384e+01,2.103616e+01,3.513335e+01,3.878425e+01,3.156020e+01,1.274906e+01,2.551451e+01
103,1.030000,2.084424e+01,-5.174530e+00,-2.983660e+01,-5.835957e+01,-2.095673e+01,-1.542277e+01,-9.813290e+00,9.999097e+00,3.372509e+01,4.168024e+01,3.255946e+01,1.592487e+01,2.504840e+01
104,1.040000,1.326070e+01,-9.876981e+00,-4.779985e+01,-6.220109e+01,-3.765551e+01,-1.583362e+01,-1.026359e+01,1.089461e+01,1.203809e+01,3.410366e+01,2.710405e+01,1.478281e+01,2.421056e+01
105,1.050000,1.069593e+01,-1.835992e+00,-2.641348e+01,-3.714986e+01,-1.647350e+01,-1.343231e+01,-5.372717e+00,2.158534e+01,1.651274e+01,2.380883e+01,1.890158e+01,1.148827e+01,2.267822e+01
106,1.060000,7.320399e-01,-1.044986e+01,-2.956731e+01,-4.358180e+01,-2.402595e+01,-2.393540e+01,-8.084978e+00,1.610754e+01,2.539068e+01,1.751019e+01,1.276233e+01,1.177592e+01,2.044622e+01
107,1.070000,2.721577e+00,-1.251707e+01,-2.515556e+01,-3.608166e+01,-2.230526e+01,-3.242005e+01,-1.310686e+01,8.403628e+00,2.081689e+01,1.345975e+01,-1.923361e-01,8.039228e+00,2.013150e+01
108,1.080000,6.929978e-01,-6.291572e+00,-1.469872e+01,-3.798579e+01,-1.596648e+01,-1.970133e+01,-2.128321e+01,1.124316e+01,1.592725e+01,5.581269e+00,1.510113e+00,-6.264662e-01,1.956569e+01
109,1.090000,4.676123e-01,-7.029551e+00,-2.099221e+01,-4.423819e+01,-1.589744e+01,-1.670444e+01,-8.271265e+00,3.101356e+00,1.024496e+01,-4.258669e+00,-7.299167e-01,-5.112416e+00,1.856926e+01
110,1.100000,-1.810422e+00,-1.565633e+01,-3.044115e+01,-4.151646e+01,-1.096210e+01,-2.997565e+00,1.624839e+01,3.888926e+00,-4.425322e+00,-1.075098e+01,-2.289421e-02,-2.621997e+00,1.789318e+01
111,1.110000,-1.691990e+00,-8.944488e+00,-1.123512e+01,-2.379502e+01,-3.638818e+00,-5.083950e-01,-2.115955e+00,-6.035760e+00,1.737130e+00,3.083385e+00,2.298660e+00,-2.356078e+00,1.718242e+01
112,1.120000,8.512985e+00,1.779614e+00,-9.171327e+00,-3.175762e+01,-1.958570e+01,-1.591789e+01,-5.874803e+00,1.030345e+01,2.952456e+01,1.902157e+01,3.820663e+00,-5.842733e+00,2.174103e+01
113,1.130000,1.670191e+01,-6.607270e-01,-3.056091e+01,-6.166981e+01,-3.209497e+01,-2.128962e+01,6.149590e+00,2.139915e+01,3.262183e+01,2.156837e+01,2.243753e+01,1.300067e+00,2.371101e+01
114,1.140000,1.890740e+01,-4.932277e+00,-3.846197e+01,-7.095482e+01,-3.696832e+01,-2.195953e+01,9.802395e-01,1.717438e+01,2.547162e+01,3.259586e+01,2.737213e+01,-6.359158e+00,2.444981e+01
115,1.150000,2.119418e+01,4.498920e-02,-2.971725e+01,-6.337407e+01,-3.223816e+01,-2.100631e+01,1.084774e+00,1.909253e+01,3.329927e+01,4.326289e+01,2.690201e+01,-8.750097e+00,2.471677e+01
116,1.160000,2.187424e+01,4.723226e+00,-2.442969e+01,-6.210040e+01,-3.184306e+01,-2.080760e+01,2.181511e+00,1.971982e+01,3.295018e+01,4.435605e+01,2.571961e+01,-1.041698e+01,2.475607e+01
117,1.170000,2.136239e+01,2.110866e+00,-2.374677e+01,-5.694320e+01,-3.184774e+01,-2.353765e+01,-6.498453e+00,1.860546e+01,4.092574e+01,5.276207e+01,2.623349e+01,-9.444030e+00,2.474205e+01
118,1.180000,1.569373e+01,-6.810021e+00,-2.834813e+01,-6.852679e+01,-3.671859e+01,-2.223892e+01,-1.033918e+01,1.558083e+01,3.926812e+01,4.656185e+01,3.627329e+01,-9.301950e+00,2.461147e+01
119,1.190000,1.480368e+01,-1.156107e+01,-3.302588e+01,-7.428320e+01,-3.618555e+01,-2.553597e+01,-1.314906e+01,9.938514e+00,2.545737e+01,4.418517e+01,4.635048e+01,4.483532e+00,2.417380e+01
120,1.200000,1.884846e+01,3.816953e-02,-2.519433e+01,-6.383608e+01,-2.635392e+01,-1.723484e+01,-1.223248e+00,8.242523e+00,1.763786e+01,2.888092e+01,3.641730e+01,8.994439e+00,2.321591e+01
121,1.210000,1.376383e+01,-6.105767e+00,-3.128839e+01,-7.022759e+01,-2.801822e+01,-1.693452e+01,2.237796e+00,-3.083197e-01,-1.355764e+01,-1.525489e+00,1.309201e+01,1.225677e+01,2.145577e+01
122,1.220000,1.180812e+01,-5.549983e+00,-3.489919e+01,-7.188416e+01,-1.478251e+01,8.731977e-01,1.378373e+01,9.003954e+00,-1.876798e+01,-1.244679e+01,1.770292e+01,5.684709e+00,1.974724e+01
